month,agegroup,dose,n,first_dose,UF
2021-07-01,11,D2,0,Janssen,AC
2021-08-01,2,D2,0,Janssen,AC
2021-08-01,3,D2,0,Janssen,AC
2021-08-01,4,D2,0,Janssen,AC
2021-08-01,5,D2,1,Janssen,AC
2021-08-01,6,D2,1,Janssen,AC
2021-08-01,7,D2,0,Janssen,AC
2021-08-01,8,D2,0,Janssen,AC
2021-08-01,9,D2,0,Janssen,AC
2021-08-01,10,D2,0,Janssen,AC
2021-08-01,11,D2,0,Janssen,AC
2021-09-01,2,D2,0,Janssen,AC
2021-09-01,3,D2,0,Janssen,AC
2021-09-01,4,D2,7,Janssen,AC
2021-09-01,5,D2,3,Janssen,AC
2021-09-01,6,D2,5,Janssen,AC
2021-09-01,7,D2,1,Janssen,AC
2021-09-01,8,D2,0,Janssen,AC
2021-09-01,9,D2,0,Janssen,AC
2021-09-01,10,D2,0,Janssen,AC
2021-09-01,11,D2,0,Janssen,AC
2021-10-01,2,D2,0,Janssen,AC
2021-10-01,3,D2,0,Janssen,AC
2021-10-01,4,D2,5,Janssen,AC
2021-10-01,5,D2,2,Janssen,AC
2021-10-01,6,D2,1,Janssen,AC
2021-10-01,7,D2,0,Janssen,AC
2021-10-01,8,D2,0,Janssen,AC
2021-10-01,9,D2,0,Janssen,AC
2021-10-01,10,D2,0,Janssen,AC
2021-10-01,11,D2,0,Janssen,AC
2021-11-01,2,D2,0,Janssen,AC
2021-11-01,3,D2,0,Janssen,AC
2021-11-01,4,D2,3,Janssen,AC
2021-11-01,5,D2,3,Janssen,AC
2021-11-01,6,D2,0,Janssen,AC
2021-11-01,7,D2,0,Janssen,AC
2021-11-01,8,D2,2,Janssen,AC
2021-11-01,9,D2,2,Janssen,AC
2021-11-01,10,D2,0,Janssen,AC
2021-11-01,11,D2,0,Janssen,AC
2021-12-01,2,D2,0,Janssen,AC
2021-12-01,3,D2,0,Janssen,AC
2021-12-01,4,D2,5,Janssen,AC
2021-12-01,5,D2,10,Janssen,AC
2021-12-01,6,D2,4,Janssen,AC
2021-12-01,7,D2,3,Janssen,AC
2021-12-01,8,D2,0,Janssen,AC
2021-12-01,9,D2,0,Janssen,AC
2021-12-01,10,D2,0,Janssen,AC
2021-12-01,11,D2,0,Janssen,AC
2022-01-01,2,D2,0,Janssen,AC
2022-01-01,3,D2,0,Janssen,AC
2022-01-01,4,D2,579,Janssen,AC
2022-01-01,5,D2,1188,Janssen,AC
2022-01-01,6,D2,389,Janssen,AC
2022-01-01,7,D2,154,Janssen,AC
2022-01-01,8,D2,21,Janssen,AC
2022-01-01,9,D2,3,Janssen,AC
2022-01-01,10,D2,-1,Janssen,AC
2022-01-01,11,D2,0,Janssen,AC
2022-02-01,2,D2,0,Janssen,AC
2022-02-01,3,D2,1,Janssen,AC
2022-02-01,4,D2,713,Janssen,AC
2022-02-01,5,D2,722,Janssen,AC
2022-02-01,6,D2,247,Janssen,AC
2022-02-01,7,D2,129,Janssen,AC
2022-02-01,8,D2,20,Janssen,AC
2022-02-01,9,D2,6,Janssen,AC
2022-02-01,10,D2,2,Janssen,AC
2022-02-01,11,D2,0,Janssen,AC
2022-03-01,2,D2,0,Janssen,AC
2022-03-01,3,D2,0,Janssen,AC
2022-03-01,4,D2,297,Janssen,AC
2022-03-01,5,D2,338,Janssen,AC
2022-03-01,6,D2,138,Janssen,AC
2022-03-01,7,D2,58,Janssen,AC
2022-03-01,8,D2,13,Janssen,AC
2022-03-01,9,D2,1,Janssen,AC
2022-03-01,10,D2,0,Janssen,AC
2022-03-01,11,D2,0,Janssen,AC
2022-04-01,2,D2,0,Janssen,AC
2022-04-01,3,D2,0,Janssen,AC
2022-04-01,4,D2,219,Janssen,AC
2022-04-01,5,D2,240,Janssen,AC
2022-04-01,6,D2,96,Janssen,AC
2022-04-01,7,D2,40,Janssen,AC
2022-04-01,8,D2,12,Janssen,AC
2022-04-01,9,D2,3,Janssen,AC
2022-04-01,10,D2,0,Janssen,AC
2022-04-01,11,D2,0,Janssen,AC
2022-05-01,2,D2,0,Janssen,AC
2022-05-01,3,D2,0,Janssen,AC
2022-05-01,4,D2,108,Janssen,AC
2022-05-01,5,D2,111,Janssen,AC
2022-05-01,6,D2,54,Janssen,AC
2022-05-01,7,D2,29,Janssen,AC
2022-05-01,8,D2,4,Janssen,AC
2022-05-01,9,D2,1,Janssen,AC
2022-05-01,10,D2,0,Janssen,AC
2022-05-01,11,D2,0,Janssen,AC
2022-06-01,2,D2,0,Janssen,AC
2022-06-01,3,D2,1,Janssen,AC
2022-06-01,4,D2,98,Janssen,AC
2022-06-01,5,D2,83,Janssen,AC
2022-06-01,6,D2,29,Janssen,AC
2022-06-01,7,D2,13,Janssen,AC
2022-06-01,8,D2,5,Janssen,AC
2022-06-01,9,D2,4,Janssen,AC
2022-06-01,10,D2,0,Janssen,AC
2022-06-01,11,D2,0,Janssen,AC
2022-07-01,2,D2,0,Janssen,AC
2022-07-01,3,D2,0,Janssen,AC
2022-07-01,4,D2,30,Janssen,AC
2022-07-01,5,D2,24,Janssen,AC
2022-07-01,6,D2,12,Janssen,AC
2022-07-01,7,D2,13,Janssen,AC
2022-07-01,8,D2,3,Janssen,AC
2022-07-01,9,D2,0,Janssen,AC
2022-07-01,10,D2,0,Janssen,AC
2022-07-01,11,D2,0,Janssen,AC
2021-02-01,2,D2,0,Other,AC
2021-02-01,3,D2,0,Other,AC
2021-02-01,4,D2,0,Other,AC
2021-02-01,5,D2,1,Other,AC
2021-02-01,6,D2,3,Other,AC
2021-02-01,7,D2,1,Other,AC
2021-02-01,8,D2,0,Other,AC
2021-02-01,9,D2,0,Other,AC
2021-02-01,10,D2,0,Other,AC
2021-02-01,11,D2,0,Other,AC
2021-03-01,2,D2,0,Other,AC
2021-03-01,3,D2,4,Other,AC
2021-03-01,4,D2,2044,Other,AC
2021-03-01,5,D2,2599,Other,AC
2021-03-01,6,D2,2289,Other,AC
