week,agegroup,dose,n,UF
2021-03-06,5,Dcum,0,AC
2021-03-06,6,Dcum,0,AC
2021-03-06,7,Dcum,1,AC
2021-03-06,8,Dcum,0,AC
2021-03-06,9,Dcum,0,AC
2021-03-06,10,Dcum,12,AC
2021-03-06,11,Dcum,4,AC
2021-03-06,2,D2cum,0,AC
2021-03-06,3,D2cum,4,AC
2021-03-06,4,D2cum,2389,AC
2021-03-06,5,D2cum,2987,AC
2021-03-06,6,D2cum,2588,AC
2021-03-06,7,D2cum,1516,AC
2021-03-06,8,D2cum,508,AC
2021-03-06,9,D2cum,253,AC
2021-03-06,10,D2cum,336,AC
2021-03-06,11,D2cum,199,AC
2021-03-06,2,D1cum,14,AC
2021-03-06,3,D1cum,28,AC
2021-03-06,4,D1cum,2671,AC
2021-03-06,5,D1cum,3298,AC
2021-03-06,6,D1cum,2816,AC
2021-03-06,7,D1cum,1602,AC
2021-03-06,8,D1cum,735,AC
2021-03-06,9,D1cum,9586,AC
2021-03-06,10,D1cum,5439,AC
2021-03-06,11,D1cum,1134,AC
2021-03-06,2,D,0,AC
2021-03-06,3,D,0,AC
2021-03-06,4,D,0,AC
2021-03-06,5,D,0,AC
2021-03-06,6,D,0,AC
2021-03-06,7,D,0,AC
2021-03-06,8,D,0,AC
2021-03-06,9,D,0,AC
2021-03-06,10,D,0,AC
2021-03-06,11,D,0,AC
2021-03-06,2,D2,0,AC
2021-03-06,3,D2,0,AC
2021-03-06,4,D2,294,AC
2021-03-06,5,D2,344,AC
2021-03-06,6,D2,259,AC
2021-03-06,7,D2,172,AC
2021-03-06,8,D2,61,AC
2021-03-06,9,D2,50,AC
2021-03-06,10,D2,194,AC
2021-03-06,11,D2,136,AC
2021-03-06,2,D1,1,AC
2021-03-06,3,D1,3,AC
2021-03-06,4,D1,120,AC
2021-03-06,5,D1,95,AC
2021-03-06,6,D1,92,AC
2021-03-06,7,D1,100,AC
2021-03-06,8,D1,152,AC
2021-03-06,9,D1,5621,AC
2021-03-06,10,D1,1860,AC
2021-03-06,11,D1,15,AC
2021-03-13,2,Dcum,0,AC
2021-03-13,3,Dcum,0,AC
2021-03-13,4,Dcum,0,AC
2021-03-13,5,Dcum,0,AC
2021-03-13,6,Dcum,0,AC
2021-03-13,7,Dcum,1,AC
2021-03-13,8,Dcum,0,AC
2021-03-13,9,Dcum,0,AC
2021-03-13,10,Dcum,12,AC
2021-03-13,11,Dcum,4,AC
2021-03-13,2,D2cum,0,AC
2021-03-13,3,D2cum,4,AC
2021-03-13,4,D2cum,2539,AC
2021-03-13,5,D2cum,3155,AC
2021-03-13,6,D2cum,2737,AC
2021-03-13,7,D2cum,1597,AC
2021-03-13,8,D2cum,539,AC
2021-03-13,9,D2cum,333,AC
2021-03-13,10,D2cum,685,AC
2021-03-13,11,D2cum,729,AC
2021-03-13,2,D1cum,15,AC
2021-03-13,3,D1cum,29,AC
2021-03-13,4,D1cum,2961,AC
2021-03-13,5,D1cum,3516,AC
2021-03-13,6,D1cum,2949,AC
2021-03-13,7,D1cum,1678,AC
2021-03-13,8,D1cum,1041,AC
2021-03-13,9,D1cum,12461,AC
2021-03-13,10,D1cum,5427,AC
2021-03-13,11,D1cum,667,AC
2021-03-13,2,D,0,AC
2021-03-13,3,D,0,AC
2021-03-13,4,D,0,AC
2021-03-13,5,D,0,AC
2021-03-13,6,D,0,AC
2021-03-13,7,D,0,AC
2021-03-13,8,D,0,AC
2021-03-13,9,D,0,AC
2021-03-13,10,D,0,AC
2021-03-13,11,D,0,AC
2021-03-13,2,D2,0,AC
2021-03-13,3,D2,0,AC
2021-03-13,4,D2,150,AC
2021-03-13,5,D2,168,AC
2021-03-13,6,D2,149,AC
2021-03-13,7,D2,81,AC
2021-03-13,8,D2,31,AC
2021-03-13,9,D2,80,AC
2021-03-13,10,D2,349,AC
2021-03-13,11,D2,530,AC
2021-03-13,2,D1,1,AC
2021-03-13,3,D1,1,AC
2021-03-13,4,D1,290,AC
2021-03-13,5,D1,218,AC
2021-03-13,6,D1,133,AC
2021-03-13,7,D1,76,AC
2021-03-13,8,D1,306,AC
2021-03-13,9,D1,2875,AC
2021-03-13,10,D1,-12,AC
2021-03-13,11,D1,-467,AC
2021-03-20,2,Dcum,0,AC
2021-03-20,3,Dcum,0,AC
2021-03-20,4,Dcum,0,AC
2021-03-20,5,Dcum,0,AC
2021-03-20,6,Dcum,0,AC
2021-03-20,7,Dcum,1,AC
2021-03-20,8,Dcum,0,AC
2021-03-20,9,Dcum,0,AC
2021-03-20,10,Dcum,12,AC
2021-03-20,11,Dcum,4,AC
2021-03-20,2,D2cum,0,AC
2021-03-20,3,D2cum,4,AC
2021-03-20,4,D2cum,2708,AC
2021-03-20,5,D2cum,3355,AC
2021-03-20,6,D2cum,2878,AC
2021-03-20,7,D2cum,1677,AC
2021-03-20,8,D2cum,571,AC
2021-03-20,9,D2cum,383,AC
2021-03-20,10,D2cum,1508,AC
2021-03-20,11,D2cum,973,AC
2021-03-20,2,D1cum,15,AC
2021-03-20,3,D1cum,31,AC
2021-03-20,4,D1cum,3230,AC
2021-03-20,5,D1cum,3708,AC
2021-03-20,6,D1cum,3102,AC
2021-03-20,7,D1cum,1760,AC
2021-03-20,8,D1cum,1373,AC
2021-03-20,9,D1cum,15173,AC
2021-03-20,10,D1cum,4889,AC
2021-03-20,11,D1cum,469,AC
2021-03-20,2,D,0,AC
2021-03-20,3,D,0,AC
2021-03-20,4,D,0,AC
2021-03-20,5,D,0,AC
2021-03-20,6,D,0,AC
2021-03-20,7,D,0,AC
2021-03-20,8,D,0,AC
2021-03-20,9,D,0,AC
2021-03-20,10,D,0,AC
2021-03-20,11,D,0,AC
2021-03-20,2,D2,0,AC
2021-03-20,3,D2,0,AC
2021-03-20,4,D2,169,AC
2021-03-20,5,D2,200,AC
2021-03-20,6,D2,141,AC
2021-03-20,7,D2,80,AC
2021-03-20,8,D2,32,AC
2021-03-20,9,D2,50,AC
2021-03-20,10,D2,823,AC
2021-03-20,11,D2,244,AC
2021-03-20,2,D1,0,AC
2021-03-20,3,D1,2,AC
2021-03-20,4,D1,269,AC
2021-03-20,5,D1,192,AC
2021-03-20,6,D1,153,AC
2021-03-20,7,D1,82,AC
2021-03-20,8,D1,332,AC
2021-03-20,9,D1,2712,AC
2021-03-20,10,D1,-538,AC
2021-03-20,11,D1,-198,AC
2021-03-27,2,Dcum,0,AC
2021-03-27,3,Dcum,0,AC
2021-03-27,4,Dcum,0,AC
2021-03-27,5,Dcum,0,AC
2021-03-27,6,Dcum,0,AC
2021-03-27,7,Dcum,1,AC
2021-03-27,8,Dcum,0,AC
2021-03-27,9,Dcum,0,AC
2021-03-27,10,Dcum,12,AC
2021-03-27,11,Dcum,4,AC
2021-03-27,2,D2cum,0,AC
2021-03-27,3,D2cum,4,AC
2021-03-27,4,D2cum,2882,AC
2021-03-27,5,D2cum,3572,AC
2021-03-27,6,D2cum,3030,AC
2021-03-27,7,D2cum,1774,AC
2021-03-27,8,D2cum,644,AC
2021-03-27,9,D2cum,860,AC
2021-03-27,10,D2cum,1853,AC
2021-03-27,11,D2cum,1047,AC
2021-03-27,2,D1cum,15,AC
2021-03-27,3,D1cum,35,AC
2021-03-27,4,D1cum,3679,AC
2021-03-27,5,D1cum,4003,AC
2021-03-27,6,D1cum,3385,AC
2021-03-27,7,D1cum,1898,AC
2021-03-27,8,D1cum,8731,AC
2021-03-27,9,D1cum,17323,AC
2021-03-27,10,D1cum,4812,AC
2021-03-27,11,D1cum,452,AC
2021-03-27,2,D,0,AC
2021-03-27,3,D,0,AC
2021-03-27,4,D,0,AC
2021-03-27,5,D,0,AC
2021-03-27,6,D,0,AC
2021-03-27,7,D,0,AC
2021-03-27,8,D,0,AC
2021-03-27,9,D,0,AC
2021-03-27,10,D,0,AC
2021-03-27,11,D,0,AC
2021-03-27,2,D2,0,AC
2021-03-27,3,D2,0,AC
2021-03-27,4,D2,174,AC
2021-03-27,5,D2,217,AC
2021-03-27,6,D2,152,AC
2021-03-27,7,D2,97,AC
2021-03-27,8,D2,73,AC
2021-03-27,9,D2,477,AC
2021-03-27,10,D2,345,AC
2021-03-27,11,D2,74,AC
2021-03-27,2,D1,0,AC
2021-03-27,3,D1,4,AC
2021-03-27,4,D1,449,AC
2021-03-27,5,D1,295,AC
2021-03-27,6,D1,283,AC
2021-03-27,7,D1,138,AC
2021-03-27,8,D1,7358,AC
2021-03-27,9,D1,2150,AC
2021-03-27,10,D1,-77,AC
2021-03-27,11,D1,-17,AC
2021-04-03,2,Dcum,0,AC
2021-04-03,3,Dcum,0,AC
2021-04-03,4,Dcum,0,AC
2021-04-03,5,Dcum,0,AC
2021-04-03,6,Dcum,0,AC
2021-04-03,7,Dcum,1,AC
2021-04-03,8,Dcum,0,AC
2021-04-03,9,Dcum,0,AC
2021-04-03,10,Dcum,12,AC
2021-04-03,11,Dcum,4,AC
2021-04-03,2,D2cum,0,AC
2021-04-03,3,D2cum,4,AC
2021-04-03,4,D2cum,3001,AC
2021-04-03,5,D2cum,3740,AC
2021-04-03,6,D2cum,3157,AC
2021-04-03,7,D2cum,1847,AC
2021-04-03,8,D2cum,705,AC
2021-04-03,9,D2cum,1909,AC
2021-04-03,10,D2cum,1992,AC
2021-04-03,11,D2cum,1067,AC
2021-04-03,2,D1cum,15,AC
2021-04-03,3,D1cum,37,AC
2021-04-03,4,D1cum,4118,AC
2021-04-03,5,D1cum,4289,AC
2021-04-03,6,D1cum,3810,AC
2021-04-03,7,D1cum,2184,AC
2021-04-03,8,D1cum,22235,AC
2021-04-03,9,D1cum,17158,AC
2021-04-03,10,D1cum,4843,AC
2021-04-03,11,D1cum,463,AC
2021-04-03,2,D,0,AC
2021-04-03,3,D,0,AC
2021-04-03,4,D,0,AC
2021-04-03,5,D,0,AC
2021-04-03,6,D,0,AC
2021-04-03,7,D,0,AC
2021-04-03,8,D,0,AC
2021-04-03,9,D,0,AC
2021-04-03,10,D,0,AC
2021-04-03,11,D,0,AC
2021-04-03,2,D2,0,AC
2021-04-03,3,D2,0,AC
2021-04-03,4,D2,119,AC
2021-04-03,5,D2,168,AC
2021-04-03,6,D2,127,AC
2021-04-03,7,D2,73,AC
2021-04-03,8,D2,61,AC
2021-04-03,9,D2,1049,AC
2021-04-03,10,D2,139,AC
2021-04-03,11,D2,20,AC
2021-04-03,2,D1,0,AC
2021-04-03,3,D1,2,AC
2021-04-03,4,D1,439,AC
2021-04-03,5,D1,286,AC
2021-04-03,6,D1,425,AC
2021-04-03,7,D1,286,AC
2021-04-03,8,D1,13504,AC
2021-04-03,9,D1,-165,AC
2021-04-03,10,D1,31,AC
2021-04-03,11,D1,11,AC
2021-04-10,2,Dcum,0,AC
2021-04-10,3,Dcum,0,AC
2021-04-10,4,Dcum,1,AC
2021-04-10,5,Dcum,0,AC
2021-04-10,6,Dcum,1,AC
2021-04-10,7,Dcum,1,AC
2021-04-10,8,Dcum,0,AC
2021-04-10,9,Dcum,0,AC
2021-04-10,10,Dcum,12,AC
2021-04-10,11,Dcum,4,AC
2021-04-10,2,D2cum,0,AC
2021-04-10,3,D2cum,6,AC
