vacina,agegroup,agegroup_10,data,doses,n
AZ,2,2,2021-05-13,DU,0
AZ,2,2,2021-05-13,R,0
AZ,2,2,2021-05-14,D1,2
AZ,2,2,2021-05-14,D2,0
AZ,2,2,2021-05-14,DU,0
AZ,2,2,2021-05-14,R,0
AZ,2,2,2021-05-15,D1,2
AZ,2,2,2021-05-15,D2,0
AZ,2,2,2021-05-15,DU,0
AZ,2,2,2021-05-15,R,0
AZ,2,2,2021-05-17,D1,1
AZ,2,2,2021-05-17,D2,0
AZ,2,2,2021-05-17,DU,0
AZ,2,2,2021-05-17,R,0
AZ,2,2,2021-05-18,D1,2
AZ,2,2,2021-05-18,D2,0
AZ,2,2,2021-05-18,DU,0
AZ,2,2,2021-05-18,R,0
AZ,2,2,2021-05-19,D1,3
AZ,2,2,2021-05-19,D2,0
AZ,2,2,2021-05-19,DU,0
AZ,2,2,2021-05-19,R,0
AZ,2,2,2021-05-20,D1,1
AZ,2,2,2021-05-20,D2,0
AZ,2,2,2021-05-20,DU,0
AZ,2,2,2021-05-20,R,0
AZ,2,2,2021-05-21,D1,6
AZ,2,2,2021-05-21,D2,0
AZ,2,2,2021-05-21,DU,0
AZ,2,2,2021-05-21,R,0
AZ,2,2,2021-05-22,D1,2
AZ,2,2,2021-05-22,D2,0
AZ,2,2,2021-05-22,DU,0
AZ,2,2,2021-05-22,R,0
AZ,2,2,2021-05-24,D1,4
AZ,2,2,2021-05-24,D2,0
AZ,2,2,2021-05-24,DU,0
AZ,2,2,2021-05-24,R,0
AZ,2,2,2021-05-25,D1,2
AZ,2,2,2021-05-25,D2,0
AZ,2,2,2021-05-25,DU,0
AZ,2,2,2021-05-25,R,0
AZ,2,2,2021-05-26,D1,5
AZ,2,2,2021-05-26,D2,0
AZ,2,2,2021-05-26,DU,0
AZ,2,2,2021-05-26,R,0
AZ,2,2,2021-05-27,D1,3
AZ,2,2,2021-05-27,D2,1
AZ,2,2,2021-05-27,DU,0
AZ,2,2,2021-05-27,R,0
AZ,2,2,2021-05-28,D1,5
AZ,2,2,2021-05-28,D2,0
AZ,2,2,2021-05-28,DU,0
AZ,2,2,2021-05-28,R,0
AZ,2,2,2021-05-29,D1,2
AZ,2,2,2021-05-29,D2,0
AZ,2,2,2021-05-29,DU,0
AZ,2,2,2021-05-29,R,0
AZ,2,2,2021-05-31,D1,3
AZ,2,2,2021-05-31,D2,0
